Site_ID,y.1,y.2,y.3,y.4,year
133,0,NA,NA,NA,2019
134,3,NA,NA,NA,2019
135,3,NA,NA,NA,2019
136,0,NA,NA,NA,2019
137,NA,NA,NA,NA,2019
138,0,NA,NA,NA,2019
139,1,NA,NA,NA,2019
140,1,NA,NA,NA,2019
141,14,NA,NA,NA,2019
142,2,NA,NA,NA,2019
143,NA,NA,NA,NA,2019
144,NA,NA,NA,NA,2019
145,NA,NA,NA,NA,2019
146,NA,NA,NA,NA,2019
147,NA,NA,NA,NA,2019
148,NA,NA,NA,NA,2019
149,NA,NA,NA,NA,2019
150,NA,NA,NA,NA,2019
151,6,NA,NA,NA,2019
152,NA,NA,NA,NA,2019
153,9,NA,NA,NA,2019
154,5,NA,NA,NA,2019
155,5,NA,NA,NA,2019
156,NA,NA,NA,NA,2019
157,5,NA,NA,NA,2019
158,7,NA,NA,NA,2019
159,7,NA,NA,NA,2019
160,NA,NA,NA,NA,2019
161,7,NA,NA,NA,2019
162,0,NA,NA,NA,2019
163,NA,NA,NA,NA,2019
164,13,NA,NA,NA,2019
165,9,NA,NA,NA,2019
166,NA,NA,NA,NA,2019
167,NA,NA,NA,NA,2019
168,NA,NA,NA,NA,2019
169,2,NA,NA,NA,2019
170,2,NA,NA,NA,2019
171,0,NA,NA,NA,2019
1,0,1,NA,NA,2020
2,4,12,NA,NA,2020
3,0,2,NA,NA,2020
4,NA,NA,NA,NA,2020
5,3,2,NA,NA,2020
6,19,3,NA,NA,2020
7,1,NA,NA,NA,2020
8,2,2,NA,NA,2020
9,3,10,NA,NA,2020
10,14,1,NA,NA,2020
11,12,18,NA,NA,2020
12,NA,NA,NA,NA,2020
13,19,3,NA,NA,2020
14,NA,NA,NA,NA,2020
15,4,NA,NA,NA,2020
16,NA,NA,NA,NA,2020
17,NA,NA,NA,NA,2020
18,NA,NA,NA,NA,2020
19,3,5,NA,NA,2020
20,NA,NA,NA,NA,2020
21,NA,NA,NA,NA,2020
22,NA,NA,NA,NA,2020
23,2,NA,NA,NA,2020
24,NA,NA,NA,NA,2020
25,NA,NA,NA,NA,2020
26,2,2,NA,NA,2020
27,NA,NA,NA,NA,2020
28,15,12,NA,NA,2020
29,NA,NA,NA,NA,2020
30,2,NA,NA,NA,2020
31,NA,NA,NA,NA,2020
32,2,12,NA,NA,2020
33,NA,NA,NA,NA,2020
34,1,1,NA,NA,2020
35,NA,NA,NA,NA,2020
36,0,3,NA,NA,2020
37,4,18,NA,NA,2020
